epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1045.79,0.18533,0.15175,0.80706,0.99807,1,0.995,0.99422,0.13663,0.09823,0.73419,0.000283085,0.000283085,0.000283085
83,1055.92,0.18484,0.15342,0.80826,0.99799,1,0.99499,0.99376,0.13318,0.09864,0.73369,0.000268938,0.000268938,0.000268938
84,1066.24,0.18644,0.15369,0.80674,0.99807,1,0.995,0.9938,0.13447,0.09948,0.73448,0.000254791,0.000254791,0.000254791
85,1076.4,0.18606,0.14999,0.80737,0.99814,1,0.995,0.99393,0.13694,0.09785,0.73481,0.000240644,0.000240644,0.000240644
86,1086.41,0.18472,0.15118,0.80631,0.99818,1,0.995,0.99424,0.13649,0.10056,0.73528,0.000226497,0.000226497,0.000226497
87,1096.24,0.18237,0.14996,0.80645,0.99814,1,0.995,0.9942,0.13185,0.09674,0.73424,0.000212349,0.000212349,0.000212349
88,1106.07,0.17835,0.14514,0.80642,0.99806,1,0.995,0.99397,0.13134,0.09421,0.73311,0.000198202,0.000198202,0.000198202
89,1116.17,0.17703,0.14567,0.80479,0.9981,1,0.995,0.9943,0.1291,0.09722,0.73401,0.000184055,0.000184055,0.000184055
90,1126.1,0.17453,0.14371,0.80851,0.99814,1,0.995,0.99421,0.13225,0.09601,0.73363,0.000169908,0.000169908,0.000169908
91,1135.72,0.15385,0.12201,0.78494,0.99813,1,0.995,0.99429,0.13157,0.09744,0.73366,0.000155761,0.000155761,0.000155761
92,1145.1,0.15394,0.1211,0.78535,0.99813,1,0.995,0.9939,0.13736,0.10223,0.7347,0.000141614,0.000141614,0.000141614
93,1154.22,0.15155,0.11893,0.78608,0.99816,1,0.995,0.99389,0.13198,0.09967,0.73371,0.000127467,0.000127467,0.000127467
94,1163.47,0.14953,0.11604,0.78129,0.99809,1,0.995,0.99429,0.13889,0.10159,0.73354,0.00011332,0.00011332,0.00011332
95,1172.81,0.14635,0.11663,0.78156,0.99806,1,0.995,0.99429,0.13383,0.09451,0.73309,9.91726e-05,9.91726e-05,9.91726e-05
96,1182.09,0.14557,0.11592,0.78223,0.99808,1,0.995,0.9943,0.12796,0.09226,0.73223,8.50255e-05,8.50255e-05,8.50255e-05
97,1191.32,0.14433,0.11321,0.7904,0.99816,1,0.995,0.9943,0.12784,0.09232,0.73322,7.08784e-05,7.08784e-05,7.08784e-05
98,1200.7,0.14177,0.11216,0.78504,0.99815,1,0.995,0.9943,0.12734,0.09024,0.73342,5.67313e-05,5.67313e-05,5.67313e-05
99,1210.13,0.14046,0.11051,0.78312,0.99819,1,0.995,0.9943,0.12691,0.09037,0.73272,4.25842e-05,4.25842e-05,4.25842e-05
100,1219.47,0.13923,0.10842,0.78158,0.99819,1,0.995,0.9943,0.12599,0.08786,0.73287,2.84371e-05,2.84371e-05,2.84371e-05
